timestamp_utc,Ticker,Yahoo_Symbol,Sector,Current_Price,Volume,Daily_Liquidity_EGP,Liquidity_Source,Price_Source,Price_As_Of,Price_Freshness,Current_Open,Current_High,Current_Low,Current_Previous_Close,Current_Change_%,Current_Source_URL,Yahoo_Last_Close,Current_Yahoo_Delta_%,Technical_Source_Status
2026-06-10T09:09:51.759143+00:00,MCRO.CA,MCRO.CA,General / Verified EGX Expansion,1.26,11027842.0,13895641.0,Mubasher delayed stock page,Yahoo Finance history + Mubasher delayed current trading data,10:53 AM market time,DELAYED_CURRENT,1.27,1.27,1.25,1.27,-0.79,https://english.mubasher.info/markets/EGX/stocks/MCRO,1.27,0.79,ALIGNED
2026-06-10T09:09:51.759143+00:00,NCCW.CA,NCCW.CA,General / Verified EGX Expansion,6.6,2673621.0,17663202.0,Mubasher delayed stock page,Yahoo Finance history + Mubasher delayed current trading data,10:52 AM market time,DELAYED_CURRENT,6.61,6.74,6.52,6.61,-0.15,https://english.mubasher.info/markets/EGX/stocks/NCCW,6.61,0.15,ALIGNED
2026-06-10T09:09:51.759143+00:00,EXPA.CA,EXPA.CA,Banking & Financials,18.9,723252.0,13722899.0,Mubasher delayed stock page,Yahoo Finance history + Mubasher delayed current trading data,10:47 AM market time,DELAYED_CURRENT,18.83,19.1,18.9,18.83,0.37,https://english.mubasher.info/markets/EGX/stocks/EXPA,18.83,0.37,ALIGNED
2026-06-10T09:09:51.759143+00:00,JUFO.CA,JUFO.CA,"Food, Beverages & Tobacco",30.1,382293.0,11603208.0,Mubasher delayed stock page,Yahoo Finance history + Mubasher delayed current trading data,10:52 AM market time,DELAYED_CURRENT,30.68,30.82,30.02,30.68,-1.89,https://english.mubasher.info/markets/EGX/stocks/JUFO,30.68,1.89,ALIGNED
2026-06-10T09:09:51.759143+00:00,OCDI.CA,OCDI.CA,Real Estate,21.51,556402.0,11932977.0,Mubasher delayed stock page,Yahoo Finance history + Mubasher delayed current trading data,10:51 AM market time,DELAYED_CURRENT,21.63,21.62,21.3,21.63,-0.55,https://english.mubasher.info/markets/EGX/stocks/OCDI,21.63,0.55,ALIGNED
2026-06-10T09:09:51.759143+00:00,PHDC.CA,PHDC.CA,Real Estate,15.05,3937606.0,59511444.0,Mubasher delayed stock page,Yahoo Finance history + Mubasher delayed current trading data,10:51 AM market time,DELAYED_CURRENT,15.07,15.21,14.97,15.07,-0.13,https://english.mubasher.info/markets/EGX/stocks/PHDC,15.07,0.13,ALIGNED
2026-06-10T09:09:51.759143+00:00,EFID.CA,EFID.CA,"Food, Beverages & Tobacco",27.8,468521.0,13057520.0,Mubasher delayed stock page,Yahoo Finance history + Mubasher delayed current trading data,10:51 AM market time,DELAYED_CURRENT,28.09,28.16,27.79,28.09,-1.03,https://english.mubasher.info/markets/EGX/stocks/EFID,28.09,1.03,ALIGNED
2026-06-10T09:09:51.759143+00:00,EGCH.CA,EGCH.CA,Basic Resources & Chemicals,14.6,492263.0,7205899.5,Mubasher delayed stock page,Yahoo Finance history + Mubasher delayed current trading data,10:52 AM market time,DELAYED_CURRENT,14.79,14.84,14.59,14.79,-1.28,https://english.mubasher.info/markets/EGX/stocks/EGCH,14.79,1.28,ALIGNED
2026-06-10T09:09:51.759143+00:00,ALUM.CA,ALUM.CA,General / Verified EGX Expansion,25.37,146038.0,3716747.25,Mubasher delayed stock page,Yahoo Finance history + Mubasher delayed current trading data,10:52 AM market time,DELAYED_CURRENT,25.6,25.87,25.28,25.6,-0.9,https://english.mubasher.info/markets/EGX/stocks/ALUM,25.6,0.9,ALIGNED
2026-06-10T09:09:51.759143+00:00,NIPH.CA,NIPH.CA,Healthcare,164.0,186602.0,30821908.0,Mubasher delayed stock page,Yahoo Finance history + Mubasher delayed current trading data,10:51 AM market time,DELAYED_CURRENT,167.0,168.47,163.8,167.0,-1.8,https://english.mubasher.info/markets/EGX/stocks/NIPH,167.0,1.8,ALIGNED
