timestamp_utc,Ticker,MA20,MA50,MA200,RSI,MACD,MACD_Signal,Avg20_Liquidity_EGP,Liquidity_Spike,Support_20D,Resistance_20D,Support_50D,Resistance_50D,Support_Distance_%,Resistance_Distance_%,Return_5D_%,Return_20D_%,Volatility_20D_%,Breakout_20D
2026-05-27T17:02:11.220457+00:00,ACAMD.CA,2.09,1.96,1.5,67.19,0.0717,0.0707,84461441.12,0.63,1.92,2.28,1.66,2.28,14.06,4.11,0.92,14.06,2.29,False
2026-05-27T17:02:11.220457+00:00,AMIA.CA,8.51,6.95,4.75,55.91,0.5528,0.6733,33390224.61,0.54,7.17,10.08,5.05,10.08,21.34,15.86,-1.14,20.83,3.76,False
2026-05-27T17:02:11.220457+00:00,CCRS.CA,2.15,1.78,1.63,74.16,0.1783,0.1671,27327841.76,0.7,1.91,2.7,1.3,2.7,26.18,12.03,-1.23,23.59,2.87,False
2026-05-27T17:02:11.220457+00:00,COSG.CA,1.5,1.4,1.33,61.29,0.0377,0.0392,46898080.67,0.48,1.44,1.65,1.29,1.65,6.25,7.84,0.66,5.52,1.89,False
2026-05-27T17:02:11.220457+00:00,ELSH.CA,8.05,7.53,7.67,63.23,0.2375,0.2436,24906960.0,0.55,7.52,8.67,6.87,8.67,10.51,4.33,1.59,8.34,1.66,False
2026-05-27T17:02:11.220457+00:00,ETRS.CA,7.76,7.58,7.06,59.85,0.0615,0.0728,32720587.05,0.62,7.37,8.18,7.11,8.18,7.6,3.15,1.28,1.67,1.57,False
2026-05-27T17:02:11.220457+00:00,RACC.CA,9.94,9.21,8.67,46.12,0.1947,0.2558,36991547.71,0.37,9.1,12.02,8.33,12.02,11.21,18.77,4.55,7.66,2.69,False
2026-05-27T17:02:11.220457+00:00,SWDY.CA,88.42,83.08,78.52,58.18,1.6263,1.9642,49112486.74,0.31,83.4,93.0,77.51,93.0,7.04,4.18,2.56,9.0,1.72,False
2026-05-27T17:02:11.220457+00:00,EFID.CA,28.45,27.42,24.0,50.67,0.2092,0.2359,47992880.92,0.48,27.49,30.06,24.16,30.06,5.02,4.11,3.63,-3.7,1.24,False
2026-05-27T17:02:11.220457+00:00,EGTS.CA,15.35,11.41,9.0,78.55,2.2676,1.9078,89871793.07,2.12,12.9,20.99,7.02,20.99,52.02,7.04,5.94,42.51,5.26,False
2026-05-27T17:02:11.220457+00:00,ORHD.CA,33.14,29.17,25.21,79.18,1.9935,1.7541,211406861.73,0.82,29.77,37.88,24.0,37.88,25.8,1.15,12.13,25.88,3.3,True
